,price,part,year,district,area,rooms,floor,tot_floors,type,street,cent_heat,rem_heat,intercom,internet,cable,sewer,aircon,elevator,new,parking,basement,phone,terrace,being_built,papers,enterable,euro_per_sqm,location_string,coordinates
255,94900.0,,1934.0,Vračar,63.0,2.5,,5,stan,Resavska,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1506.34920635,"Resavska, Beograd","(44.8017463, 20.4584882)"
256,340000.0,Centar (Zemun),1919.0,Zemun,150.0,3.0,1,2,stan,Avijatičarski trg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2266.66666667,"Avijatičarski trg, Beograd","(44.8405623, 20.4145883)"
258,69000.0,Konjarnik (Voždovac),1970.0,Voždovac,49.0,2.0,,6,stan,Vladimira Tomanovića,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1408.16326531,"Vladimira Tomanovića, Beograd","(44.7809817, 20.5030422)"
260,99000.0,Centar (Zemun),2008.0,Zemun,71.0,3.0,2,2,stan,Jovana Subotića,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1394.36619718,"Jovana Subotića, Beograd","(44.842323, 20.4147964)"
263,89000.0,Hram Svetog Save,2000.0,Vračar,42.0,2.0,1,5,stan,Internacionalnih brigada,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2119.04761905,"Internacionalnih brigada, Beograd","(44.7946566, 20.4733132)"
265,220900.0,Neimar,2008.0,Vračar,94.0,4.0,3,4,stan,Janka Veselinovića,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2350.0,"Janka Veselinovića, Beograd","(44.380152, 20.2471334)"
267,199000.0,Hram Svetog Save,1983.0,Vračar,91.0,3.0,1,5,stan,Ohridska,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2186.81318681,"Ohridska, Beograd","(44.3876674, 20.2663155)"
268,163000.0,Tašmajdan,2013.0,Palilula,83.0,3.0,2,5,stan,Ivankovačka,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1963.85542169,"Ivankovačka, Beograd","(44.8079751, 20.4796074)"
271,92000.0,Trošarina,1978.0,Voždovac,86.0,3.0,5,9,stan,Crnotravska,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1069.76744186,"Crnotravska, Beograd","(44.7690844, 20.4666828)"
273,171000.0,Profesorska kolonija,2008.0,Palilula,95.0,3.0,2,4,stan,Osmana Đikića,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1800.0,"Osmana Đikića, Beograd","(44.8165478, 20.4812809)"
274,110000.0,,2008.0,Zvezdara,71.0,2.0,4,6,stan,Križanićeva,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1549.29577465,"Križanićeva, Beograd","(44.7899344, 20.5018067)"
276,54000.0,Altina,2017.0,Zemun,62.0,3.5,,3,stan,Justina Popovića,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,870.967741935,"Justina Popovića, Beograd","(44.8605305, 20.3417174)"
277,35000.0,Altina,2016.0,Zemun,44.0,1.5,,4,stan,Ugrinovački put 22. deo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,795.454545455,"Ugrinovački put 22. deo, Beograd","(44.8562398, 20.3529722)"
278,110000.0,Učiteljsko naselje,2008.0,Zvezdara,71.0,2.0,4,8,stan,Križanićeva,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1549.29577465,"Križanićeva, Beograd","(44.7899344, 20.5018067)"
279,50000.0,Karaburma,1970.0,Palilula,56.0,2.0,1,4,stan,Dragoslava Srejovića,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,892.857142857,"Dragoslava Srejovića, Beograd","(44.8004066, 20.5228621)"
280,260000.0,Centar (Stari grad),1935.0,Stari grad,85.0,3.0,2,4,stan,Makedonska,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3058.82352941,"Makedonska, Beograd","(44.8161898, 20.4608017)"
282,349911.0,Dorćol,2001.0,Stari grad,120.0,4.0,2,5,stan,Strahinjića bana,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2915.925,"Strahinjića bana, Beograd","(44.4482103, 20.6873929)"
283,52000.0,Višnjica,2004.0,Palilula,72.0,2.0,1,4,stan,Nova 113,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,722.222222222,"Nova 113, Beograd","(44.8335653, 20.5558717)"
285,79900.0,Đeram pijaca,2011.0,Zvezdara,36.0,1.5,5,5,stan,Gajeva,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2219.44444444,"Gajeva, Beograd","(44.7995877, 20.4873833)"
286,85000.0,Dedinje,1978.0,Savski Venac,60.0,2.5,12,12,stan,Ljutice Bogdana,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1416.66666667,"Ljutice Bogdana, Beograd","(44.7792178, 20.4585769)"
288,385000.0,Hram Svetog Save,2012.0,Vračar,202.0,4.0,6,6,stan,Internacionalnih brigada,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1905.94059406,"Internacionalnih brigada, Beograd","(44.7946566, 20.4733132)"
289,82000.0,Centar (Savski venac),2003.0,Savski Venac,58.0,2.0,2,5,stan,Dobropoljska,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1413.79310345,"Dobropoljska, Beograd","(44.7923798, 20.462389)"
